 �bitos infantis - Brasil
�bitos p/Resid�nc por Munic�pio
Per�odo:2022
"Munic�pio";"�bitos_p/Resid�nc"
"350530 BARRA BONITA";5
"350535 BARRA DO CHAPEU";1
"350540 BARRA DO TURVO";1
"350550 BARRETOS";18
"350560 BARRINHA";3
"350570 BARUERI";39
"350580 BASTOS";2
"350590 BATATAIS";10
"350600 BAURU";43
"350610 BEBEDOURO";9
"350635 BERTIOGA";16
"350640 BILAC";3
"350650 BIRIGUI";16
"350660 BIRITIBA MIRIM";1
"350670 BOA ESPERANCA DO SUL";2
"350680 BOCAINA";3
"350690 BOFETE";1
"350700 BOITUVA";11
"350710 BOM JESUS DOS PERDOES";3
"350740 BORBOREMA";4
"350750 BOTUCATU";15
"350760 BRAGANCA PAULISTA";27
"350775 BREJO ALEGRE";1
"350780 BRODOWSKI";2
"350790 BROTAS";2
"350800 BURI";3
"350820 BURITIZAL";1
"350840 CABREUVA";14
"350850 CACAPAVA";8
"350860 CACHOEIRA PAULISTA";9
"350870 CACONDE";1
"350880 CAFELANDIA";5
"350890 CAIABU";1
"350900 CAIEIRAS";21
"350920 CAJAMAR";19
"350925 CAJATI";4
"350940 CAJURU";6
"350945 CAMPINA DO MONTE ALEGRE";1
"350950 CAMPINAS";128
"350960 CAMPO LIMPO PAULISTA";5
"350970 CAMPOS DO JORDAO";7
"350980 CAMPOS NOVOS PAULISTA";1
"350990 CANANEIA";5
"350995 CANAS";1
"351000 CANDIDO MOTA";1
"351015 CANITAR";1
"351020 CAPAO BONITO";6
"351030 CAPELA DO ALTO";5
"351040 CAPIVARI";12
"351050 CARAGUATATUBA";18
"351060 CARAPICUIBA";98
"351080 CASA BRANCA";4
"351100 CASTILHO";1
"351110 CATANDUVA";10
"351120 CATIGUA";2
"351130 CEDRAL";1
"351140 CERQUEIRA CESAR";6
"351160 CESARIO LANGE";5
"351170 CHARQUEADA";2
"351190 CLEMENTINA";1
"351200 COLINA";2
"351210 COLOMBIA";2
"351220 CONCHAL";8
"351230 CONCHAS";2
"351240 CORDEIROPOLIS";7
"351260 CORONEL MACEDO";2
"351270 CORUMBATAI";1
"351280 COSMOPOLIS";8
"351290 COSMORAMA";2
"351300 COTIA";55
"351310 CRAVINHOS";8
"351320 CRISTAIS PAULISTA";1
"351340 CRUZEIRO";12
"351350 CUBATAO";19
"351360 CUNHA";2
"351370 DESCALVADO";4
"351380 DIADEMA";55
"351410 DOIS CORREGOS";1
"351440 DRACENA";5
"351450 DUARTINA";1
"351480 ELDORADO";3
"351490 ELIAS FAUSTO";7
"351500 EMBU DAS ARTES";36
"351510 EMBU-GUACU";7
"351515 ENGENHEIRO COELHO";4
"351518 ESPIRITO SANTO DO PINHAL";5
"351520 ESTRELA D'OESTE";1
"351530 ESTRELA DO NORTE";1
"351535 EUCLIDES DA CUNHA PAULISTA";1
"351540 FARTURA";2
"351550 FERNANDOPOLIS";3
"351570 FERRAZ DE VASCONCELOS";37
"351600 FLORIDA PAULISTA";1
"351620 FRANCA";30
"351630 FRANCISCO MORATO";40
"351640 FRANCO DA ROCHA";18
"351660 GALIA";1
"351670 GARCA";7
"351690 GENERAL SALGADO";1
"351710 GLICERIO";2
"351720 GUAICARA";1
"351730 GUAIMBE";1
"351740 GUAIRA";4
"351750 GUAPIACU";5
"351760 GUAPIARA";2
"351810 GUARANTA";2
"351820 GUARARAPES";2
"351830 GUARAREMA";4
"351840 GUARATINGUETA";12
"351850 GUAREI";1
"351860 GUARIBA";4
"351870 GUARUJA";63
"351880 GUARULHOS";234
"351900 HERCULANDIA";1
"351905 HOLAMBRA";3
"351907 HORTOLANDIA";29
"351910 IACANGA";1
"351920 IACRI";2
"351930 IBATE";4
"351940 IBIRA";1
"351950 IBIRAREMA";4
"351960 IBITINGA";10
"351970 IBIUNA";15
"351990 IEPE";3
"352000 IGARACU DO TIETE";2
"352010 IGARAPAVA";1
"352020 IGARATA";2
"352030 IGUAPE";2
"352040 ILHABELA";3
"352042 ILHA COMPRIDA";3
"352044 ILHA SOLTEIRA";4
"352050 INDAIATUBA";31
"352090 IPAUSSU";7
"352100 IPERO";5
"352115 IPIGUA";1
"352120 IPORANGA";2
"352130 IPUA";2
"352140 IRACEMAPOLIS";3
"352150 IRAPUA";1
"352170 ITABERA";3
"352180 ITAI";5
"352190 ITAJOBI";5
"352210 ITANHAEM";12
"352215 ITAOCA";2
"352220 ITAPECERICA DA SERRA";20
"352230 ITAPETININGA";23
"352240 ITAPEVA";19
"352250 ITAPEVI";52
"352260 ITAPIRA";7
"352270 ITAPOLIS";4
"352290 ITAPUI";4
"352310 ITAQUAQUECETUBA";73
"352320 ITARARE";5
"352330 ITARIRI";1
"352340 ITATIBA";19
"352350 ITATINGA";7
"352360 ITIRAPINA";2
"352390 ITU";19
"352400 ITUPEVA";13
"352410 ITUVERAVA";7
"352420 JABORANDI";2
"352430 JABOTICABAL";7
"352440 JACAREI";25
"352460 JACUPIRANGA";1
"352470 JAGUARIUNA";7
"352480 JALES";1
"352500 JANDIRA";18
"352510 JARDINOPOLIS";6
"352520 JARINU";7
"352530 JAU";9
"352550 JOANOPOLIS";1
"352570 JOSE BONIFACIO";5
"352580 JULIO MESQUITA";1
"352590 JUNDIAI";58
"352600 JUNQUEIROPOLIS";2
"352610 JUQUIA";5
"352620 JUQUITIBA";8
"352630 LAGOINHA";1
"352640 LARANJAL PAULISTA";1
"352660 LAVRINHAS";1
"352670 LEME";12
"352680 LENCOIS PAULISTA";8
"352690 LIMEIRA";41
"352710 LINS";9
"352720 LORENA";15
"352730 LOUVEIRA";7
"352740 LUCELIA";4
"352790 LUTECIA";1
"352800 MACATUBA";2
"352830 MAGDA";1
"352840 MAIRINQUE";6
"352850 MAIRIPORA";10
"352880 MARACAI";1
"352885 MARAPOAMA";1
"352900 MARILIA";43
"352920 MARTINOPOLIS";2
"352930 MATAO";7
"352940 MAUA";58
"352950 MENDONCA";3
"352970 MIGUELOPOLIS";2
"352990 MIRACATU";7
"353010 MIRANDOPOLIS";4
"353020 MIRANTE DO PARANAPANEMA";4
"353030 MIRASSOL";7
"353050 MOCOCA";5
"353060 MOGI DAS CRUZES";70
"353070 MOGI GUACU";21
"353080 MOGI MIRIM";5
"353110 MONGAGUA";9
"353120 MONTE ALEGRE DO SUL";1
"353130 MONTE ALTO";8
"353140 MONTE APRAZIVEL";4
"353150 MONTE AZUL PAULISTA";2
"353170 MONTEIRO LOBATO";2
"353180 MONTE MOR";10
"353190 MORRO AGUDO";3
"353200 MORUNGABA";1
"353205 MOTUCA";1
"353210 MURUTINGA DO SUL";2
"353220 NARANDIBA";1
"353230 NATIVIDADE DA SERRA";1
"353270 NIPOA";3
"353282 NOVA CAMPINA";4
"353284 NOVA CANAA PAULISTA";1
"353290 NOVA EUROPA";4
"353300 NOVA GRANADA";2
"353340 NOVA ODESSA";7
"353350 NOVO HORIZONTE";5
"353370 OCAUCU";1
"353390 OLIMPIA";6
"353400 ONDA VERDE";1
"353410 ORIENTE";1
"353430 ORLANDIA";4
"353440 OSASCO";121
"353450 OSCAR BRESSANE";1
"353460 OSVALDO CRUZ";2
"353470 OURINHOS";11
"353475 OUROESTE";1
"353480 OURO VERDE";4
"353530 PALMITAL";1
"353540 PANORAMA";4
"353550 PARAGUACU PAULISTA";6
"353560 PARAIBUNA";1
"353570 PARAISO";2
"353580 PARANAPANEMA";4
"353600 PARAPUA";2
"353610 PARDINHO";3
"353620 PARIQUERA-ACU";3
"353630 PATROCINIO PAULISTA";7
"353640 PAULICEIA";1
"353650 PAULINIA";20
"353660 PAULO DE FARIA";1
"353670 PEDERNEIRAS";5
"353700 PEDREGULHO";3
"353710 PEDREIRA";3
"353715 PEDRINHAS PAULISTA";1
"353720 PEDRO DE TOLEDO";4
"353730 PENAPOLIS";16
"353740 PEREIRA BARRETO";4
"353760 PERUIBE";11
"353770 PIACATU";3
"353780 PIEDADE";8
"353790 PILAR DO SUL";9
"353800 PINDAMONHANGABA";22
"353820 PINHALZINHO";1
"353850 PIQUETE";1
"353860 PIRACAIA";5
"353870 PIRACICABA";49
"353880 PIRAJU";2
"353910 PIRAPORA DO BOM JESUS";1
"353920 PIRAPOZINHO";3
"353930 PIRASSUNUNGA";6
"353950 PITANGUEIRAS";2
"353960 PLANALTO";1
"353970 PLATINA";1
"353980 POA";15
"354000 POMPEIA";1
"354020 PONTAL";9
"354025 PONTALINDA";1
"354060 PORTO FELIZ";3
"354070 PORTO FERREIRA";7
"354075 POTIM";4
"354080 POTIRENDABA";2
"354090 PRADOPOLIS";1
"354100 PRAIA GRANDE";48
"354120 PRESIDENTE BERNARDES";1
"354130 PRESIDENTE EPITACIO";5
"354140 PRESIDENTE PRUDENTE";33
"354150 PRESIDENTE VENCESLAU";1
"354160 PROMISSAO";7
"354170 QUATA";1
"354190 QUELUZ";1
"354210 RAFARD";1
"354220 RANCHARIA";6
"354230 REDENCAO DA SERRA";1
"354240 REGENTE FEIJO";4
"354260 REGISTRO";8
"354270 RESTINGA";4
"354280 RIBEIRA";1
"354290 RIBEIRAO BONITO";2
"354300 RIBEIRAO BRANCO";3
"354325 RIBEIRAO GRANDE";1
"354330 RIBEIRAO PIRES";12
"354340 RIBEIRAO PRETO";77
"354390 RIO CLARO";25
"354400 RIO DAS PEDRAS";3
"354410 RIO GRANDE DA SERRA";5
"354420 RIOLANDIA";1
"354425 ROSANA";2
"354430 ROSEIRA";1
"354470 SAGRES";1
"354500 SALESOPOLIS";1
"354510 SALMOURAO";1
"354520 SALTO";21
"354530 SALTO DE PIRAPORA";11
"354540 SALTO GRANDE";1
"354550 SANDOVALINA";1
"354560 SANTA ADELIA";2
"354580 SANTA BARBARA D'OESTE";25
"354620 SANTA CRUZ DA CONCEICAO";1
"354630 SANTA CRUZ DAS PALMEIRAS";5
"354640 SANTA CRUZ DO RIO PARDO";6
"354650 SANTA ERNESTINA";1
"354660 SANTA FE DO SUL";1
"354680 SANTA ISABEL";7
"354710 SANTA MERCEDES";1
"354730 SANTANA DE PARNAIBA";19
"354750 SANTA RITA DO PASSA QUATRO";2
"354760 SANTA ROSA DE VITERBO";4
"354770 SANTO ANASTACIO";3
"354780 SANTO ANDRE";78
"354800 SANTO ANTONIO DE POSSE";3
"354805 SANTO ANTONIO DO ARACANGUA";2
"354810 SANTO ANTONIO DO JARDIM";2
"354820 SANTO ANTONIO DO PINHAL";2
"354840 SANTOPOLIS DO AGUAPEI";1
"354850 SANTOS";30
"354870 SAO BERNARDO DO CAMPO";72
"354880 SAO CAETANO DO SUL";15
"354890 SAO CARLOS";34
"354910 SAO JOAO DA BOA VISTA";5
"354940 SAO JOAQUIM DA BARRA";5
"354950 SAO JOSE DA BELA VISTA";1
"354970 SAO JOSE DO RIO PARDO";11
"354980 SAO JOSE DO RIO PRETO";49
"354990 SAO JOSE DOS CAMPOS";84
"354995 SAO LOURENCO DA SERRA";4
"355000 SAO LUIS DO PARAITINGA";1
"355010 SAO MANUEL";3
"355020 SAO MIGUEL ARCANJO";1
"355030 SAO PAULO";1437
"355040 SAO PEDRO";6
"355050 SAO PEDRO DO TURVO";2
"355060 SAO ROQUE";4
"355070 SAO SEBASTIAO";13
"355080 SAO SEBASTIAO DA GRAMA";1
"355100 SAO VICENTE";45
"355110 SARAPUI";2
"355120 SARUTAIA";1
"355150 SERRANA";6
"355160 SERRA NEGRA";2
"355170 SERTAOZINHO";12
"355180 SETE BARRAS";2
"355190 SEVERINIA";1
"355200 SILVEIRAS";1
"355210 SOCORRO";3
"355220 SOROCABA";92
"355240 SUMARE";34
"355250 SUZANO";45
"355255 SUZANAPOLIS";1
"355260 TABAPUA";1
"355270 TABATINGA";3
"355280 TABOAO DA SERRA";42
"355300 TAGUAI";2
"355310 TAIACU";1
"355330 TAMBAU";1
"355340 TANABI";2
"355360 TAPIRATIBA";1
"355370 TAQUARITINGA";9
"355380 TAQUARITUBA";4
"355390 TARABAI";2
"355395 TARUMA";1
"355400 TATUI";18
"355410 TAUBATE";37
"355430 TEODORO SAMPAIO";5
"355450 TIETE";4
"355475 TRABIJU";1
"355480 TREMEMBE";4
"355500 TUPA";4
"355520 TURIUBA";1
"355535 UBARANA";1
"355540 UBATUBA";13
"355550 UBIRAJARA";2
"355560 UCHOA";3
"355580 URANIA";1
"355600 URUPES";3
"355610 VALENTIM GENTIL";1
"355620 VALINHOS";14
"355630 VALPARAISO";3
"355635 VARGEM";1
"355640 VARGEM GRANDE DO SUL";4
"355645 VARGEM GRANDE PAULISTA";6
"355650 VARZEA PAULISTA";17
"355660 VERA CRUZ";1
"355670 VINHEDO";5
"355680 VIRADOURO";2
"355690 VISTA ALEGRE DO ALTO";1
"355695 VITORIA BRASIL";1
"355700 VOTORANTIM";20
"355710 VOTUPORANGA";11
"355720 CHAVANTES";3
"410020 ADRIANOPOLIS";1
"410040 ALMIRANTE TAMANDARE";18
"410045 ALTAMIRA DO PARANA";1
"410050 ALTONIA";2
"410060 ALTO PARANA";1
"410070 ALTO PIQUIRI";1
"410090 AMAPORA";2
"410100 AMPERE";2
"410110 ANDIRA";4
"410140 APUCARANA";21
"410150 ARAPONGAS";7
"410160 ARAPOTI";5
"410165 ARAPUA";1
"410170 ARARUNA";5
"410180 ARAUCARIA";16
"410185 ARIRANHA DO IVAI";1
"410190 ASSAI";1
"410200 ASSIS CHATEAUBRIAND";4
"410210 ASTORGA";5
"410220 ATALAIA";2
"410230 BALSA NOVA";4
"410240 BANDEIRANTES";5
"410250 BARBOSA FERRAZ";3
"410275 BELA VISTA DA CAROBA";1
"410280 BELA VISTA DO PARAISO";1
"410290 BITURUNA";3
"410300 BOA ESPERANCA";2
"410304 BOA VENTURA DE SAO ROQUE";1
"410310 BOCAIUVA DO SUL";4
"410315 BOM JESUS DO SUL";4
"410320 BOM SUCESSO";1
"410322 BOM SUCESSO DO SUL";1
"410337 BRASILANDIA DO SUL";1
"410345 CAFELANDIA";3
"410347 CAFEZAL DO SUL";1
"410350 CALIFORNIA";1
"410360 CAMBARA";1
"410370 CAMBE";10
"410380 CAMBIRA";1
"410390 CAMPINA DA LAGOA";3
"410395 CAMPINA DO SIMAO";1
"410400 CAMPINA GRANDE DO SUL";9
"410420 CAMPO LARGO";13
"410425 CAMPO MAGRO";5
"410430 CAMPO MOURAO";12
"410440 CANDIDO DE ABREU";1
"410442 CANDOI";3
"410445 CANTAGALO";2
"410450 CAPANEMA";1
"410460 CAPITAO LEONIDAS MARQUES";2
"410465 CARAMBEI";2
"410470 CARLOPOLIS";5
"410480 CASCAVEL";35
"410490 CASTRO";10
"410500 CATANDUVAS";1
"410510 CENTENARIO DO SUL";3
"410530 CEU AZUL";1
"410540 CHOPINZINHO";3
"410550 CIANORTE";5
"410560 CIDADE GAUCHA";3
"410570 CLEVELANDIA";1
"410580 COLOMBO";28
"410590 COLORADO";4
"410600 CONGONHINHAS";3
"410620 CONTENDA";5
"410630 CORBELIA";2
"410640 CORNELIO PROCOPIO";3
"410645 CORONEL DOMINGOS SOARES";2
"410650 CORONEL VIVIDA";5
"410655 CORUMBATAI DO SUL";1
"410657 CRUZEIRO DO IGUACU";1
"410660 CRUZEIRO DO OESTE";1
"410680 CRUZ MACHADO";1
"410690 CURITIBA";158
"410710 DIAMANTE DO NORTE";1
"410720 DOIS VIZINHOS";11
"410725 DOURADINA";1
"410740 ENEAS MARQUES";2
"410750 ENGENHEIRO BELTRAO";7
"410753 ENTRE RIOS DO OESTE";1
"410755 FAROL";1
"410760 FAXINAL";3
"410765 FAZENDA RIO GRANDE";25
"410775 FIGUEIRA";3
"410785 FLOR DA SERRA DO SUL";2
"410800 FLORESTOPOLIS";1
"410810 FLORIDA";2
"410830 FOZ DO IGUACU";57
"410840 FRANCISCO BELTRAO";11
"410845 FOZ DO JORDAO";2
"410850 GENERAL CARNEIRO";2
"410860 GOIOERE";6
"410865 GOIOXIM";1
"410880 GUAIRA";5
"410890 GUAIRACA";1
"410895 GUAMIRANGA";1
"410900 GUAPIRAMA";1
"410910 GUAPOREMA";1
"410920 GUARACI";1
"410930 GUARANIACU";1
"410940 GUARAPUAVA";24
"410960 GUARATUBA";6
"410970 IBAITI";2
"410980 IBIPORA";8
"410990 ICARAIMA";1
"411005 IGUATU";1
"411007 IMBAU";3
"411010 IMBITUVA";2
"411020 INACIO MARTINS";1
"411050 IPIRANGA";7
"411060 IPORA";2
"411070 IRATI";6
"411080 IRETAMA";3
"411095 ITAIPULANDIA";3
"411110 ITAMBE";1
"411120 ITAPEJARA D'OESTE";1
"411125 ITAPERUCU";9
"411150 IVAIPORA";6
"411155 IVATE";1
"411180 JACAREZINHO";4
"411190 JAGUAPITA";4
"411200 JAGUARIAIVA";6
"411210 JANDAIA DO SUL";2
"411230 JAPIRA";2
"411240 JAPURA";3
"411250 JARDIM ALEGRE";1
"411270 JATAIZINHO";1
"411275 JESUITAS";2
"411280 JOAQUIM TAVORA";3
"411290 JUNDIAI DO SUL";1
"411295 JURANDA";1
"411300 JUSSARA";4
"411320 LAPA";9
"411330 LARANJEIRAS DO SUL";4
"411345 LINDOESTE";2
"411350 LOANDA";8
"411360 LOBATO";2
"411370 LONDRINA";72
"411390 MALLET";2
"411400 MAMBORE";1
"411410 MANDAGUACU";3
"411420 MANDAGUARI";5
"411430 MANDIRITUBA";1
"411440 MANGUEIRINHA";1
"411450 MANOEL RIBAS";3
"411460 MARECHAL CANDIDO RONDON";4
"411480 MARIALVA";5
"411490 MARILANDIA DO SUL";1
"411500 MARILENA";3
"411510 MARILUZ";2
"411520 MARINGA";30
"411530 MARIOPOLIS";4
"411540 MARMELEIRO";1
"411550 MARUMBI";1
"411560 MATELANDIA";1
"411570 MATINHOS";4
"411573 MATO RICO";1
"411575 MAUA DA SERRA";3
"411580 MEDIANEIRA";5
"411605 MISSAL";1
"411620 MORRETES";3
"411640 NOSSA SENHORA DAS GRACAS";1
"411670 NOVA AURORA";1
"411680 NOVA CANTU";3
"411690 NOVA ESPERANCA";4
"411700 NOVA FATIMA";1
"411705 NOVA LARANJEIRAS";4
"411710 NOVA LONDRINA";3
"411720 NOVA OLIMPIA";1
"411721 NOVA SANTA BARBARA";1
"411727 NOVA TEBAS";2
"411729 NOVO ITACOLOMI";1
"411730 ORTIGUEIRA";10
"411740 OURIZONA";1
"411745 OURO VERDE DO OESTE";1
"411750 PAICANDU";7
"411760 PALMAS";15
"411770 PALMEIRA";4
"411780 PALMITAL";2
"411790 PALOTINA";5
"411820 PARANAGUA";22
"411840 PARANAVAI";18
"411845 PATO BRAGADO";1
"411850 PATO BRANCO";10
"411860 PAULA FREITAS";2
"411880 PEABIRU";6
"411910 PIEN";3
"411915 PINHAIS";18
"411930 PINHAO";6
"411940 PIRAI DO SUL";4
"411950 PIRAQUARA";12
"411960 PITANGA";7
"411965 PITANGUEIRAS";1
"411970 PLANALTINA DO PARANA";2
"411980 PLANALTO";2
"411990 PONTA GROSSA";58
"411995 PONTAL DO PARANA";4
"412000 PORECATU";3
"412010 PORTO AMAZONAS";1
"412030 PORTO VITORIA";1
"412033 PRADO FERREIRA";1
"412035 PRANCHITA";1
"412050 PRIMEIRO DE MAIO";2
"412060 PRUDENTOPOLIS";4
"412065 QUARTO CENTENARIO";1
"412080 QUATRO BARRAS";2
"412085 QUATRO PONTES";1
"412090 QUEDAS DO IGUACU";4
"412125 RAMILANDIA";1
"412130 RANCHO ALEGRE";1
"412135 RANCHO ALEGRE D'OESTE";1
"412140 REALEZA";2
"412150 REBOUCAS";2
"412170 RESERVA";7
"412180 RIBEIRAO CLARO";4
"412190 RIBEIRAO DO PINHAL";2
"412200 RIO AZUL";1
"412215 RIO BONITO DO IGUACU";1
"412217 RIO BRANCO DO IVAI";1
"412220 RIO BRANCO DO SUL";1
"412230 RIO NEGRO";1
"412240 ROLANDIA";15
"412250 RONCADOR";2
"412260 RONDON";2
"412265 ROSARIO DO IVAI";1
"412270 SABAUDIA";1
"412280 SALGADO FILHO";1
"412300 SALTO DO LONTRA";1
"412310 SANTA AMELIA";1
"412330 SANTA CRUZ DE MONTE CASTELO";1
"412340 SANTA FE";1
"412350 SANTA HELENA";6
"412370 SANTA ISABEL DO IVAI";2
"412380 SANTA IZABEL DO OESTE";2
"412385 SANTA MARIA DO OESTE";4
"412390 SANTA MARIANA";2
"412395 SANTA MONICA";1
"412405 SANTA TEREZINHA DE ITAIPU";7
"412410 SANTO ANTONIO DA PLATINA";5
"412440 SANTO ANTONIO DO SUDOESTE";2
"412470 SAO JERONIMO DA SERRA";3
"412480 SAO JOAO";3
"412510 SAO JOAO DO TRIUNFO";1
"412520 SAO JORGE D'OESTE";3
"412530 SAO JORGE DO IVAI";1
"412540 SAO JOSE DA BOA VISTA";2
"412545 SAO JOSE DAS PALMEIRAS";1
"412550 SAO JOSE DOS PINHAIS";30
"412560 SAO MATEUS DO SUL";3
"412570 SAO MIGUEL DO IGUACU";7
"412600 SAO SEBASTIAO DA AMOREIRA";1
"412620 SAPOPEMA";1
"412625 SARANDI";21
"412627 SAUDADE DO IGUACU";1
"412630 SENGES";2
"412635 SERRANOPOLIS DO IGUACU";1
"412680 TAPEJARA";1
"412690 TAPIRA";1
"412700 TEIXEIRA SOARES";1
"412710 TELEMACO BORBA";8
"412720 TERRA BOA";4
"412730 TERRA RICA";1
"412740 TERRA ROXA";4
"412750 TIBAGI";2
"412760 TIJUCAS DO SUL";3
"412770 TOLEDO";22
"412785 TRES BARRAS DO PARANA";2
"412788 TUNAS DO PARANA";1
"412790 TUNEIRAS DO OESTE";1
"412795 TUPASSI";2
"412796 TURVO";2
"412800 UBIRATA";2
"412810 UMUARAMA";14
"412820 UNIAO DA VITORIA";11
"412830 UNIFLOR";1
"412850 WENCESLAU BRAZ";2
"412862 ALTO PARAISO";1
"412870 VITORINO";1
"412880 XAMBRE";1
"420010 ABELARDO LUZ";4
"420020 AGROLANDIA";1
"420040 AGUA DOCE";1
"420060 AGUAS MORNAS";2
"420100 ANITA GARIBALDI";3
"420125 APIUNA";2
"420130 ARAQUARI";5
"420140 ARARANGUA";15
"420165 ARVOREDO";1
"420170 ASCURRA";1
"420180 ATALANTA";1
"420190 AURORA";2
"420195 BALNEARIO ARROIO DO SILVA";2
"420200 BALNEARIO CAMBORIU";9
"420205 BALNEARIO BARRA DO SUL";2
"420208 BANDEIRANTE";1
"420210 BARRA VELHA";6
"420213 BELA VISTA DO TOLDO";1
"420220 BENEDITO NOVO";1
"420230 BIGUACU";10
"420240 BLUMENAU";45
"420243 BOCAINA DO SUL";1
"420245 BOMBINHAS";3
"420250 BOM JARDIM DA SERRA";3
"420260 BOM RETIRO";1
"420280 BRACO DO NORTE";6
"420290 BRUSQUE";13
"420300 CACADOR";16
"420315 CALMON";2
"420320 CAMBORIU";23
"420330 CAMPO ALEGRE";1
"420340 CAMPO BELO DO SUL";1
"420350 CAMPO ERE";2
"420360 CAMPOS NOVOS";12
"420380 CANOINHAS";6
"420390 CAPINZAL";1
"420395 CAPIVARI DE BAIXO";3
"420400 CATANDUVAS";2
"420419 CHAPADAO DO LAGEADO";1
"420420 CHAPECO";39
"420425 COCAL DO SUL";3
"420430 CONCORDIA";11
"420440 CORONEL FREITAS";1
"420455 CORREIA PINTO";1
"420460 CRICIUMA";23
"420475 CUNHATAI";2
"420480 CURITIBANOS";6
"420490 DESCANSO";1
"420500 DIONISIO CERQUEIRA";2
"420510 DONA EMMA";1
"420515 DOUTOR PEDRINHO";1
"420540 FLORIANOPOLIS";47
"420545 FORQUILHINHA";1
"420550 FRAIBURGO";7
"420570 GAROPABA";2
"420580 GARUVA";3
"420590 GASPAR";12
"420600 GOVERNADOR CELSO RAMOS";1
"420610 GRAO-PARA";3
"420620 GRAVATAL";2
"420630 GUABIRUBA";3
"420640 GUARACIABA";2
"420650 GUARAMIRIM";9
"420660 GUARUJA DO SUL";1
"420670 HERVAL D'OESTE";2
"420680 IBICARE";1
"420700 ICARA";8
"420710 ILHOTA";2
"420720 IMARUI";3
"420730 IMBITUBA";6
"420740 IMBUIA";1
"420750 INDAIAL";7
"420760 IPIRA";1
"420765 IPORA DO OESTE";1
"420768 IPUACU";3
"420770 IPUMIRIM";4
"420780 IRANI";2
"420790 IRINEOPOLIS";3
"420800 ITA";1
"420810 ITAIOPOLIS";4
"420820 ITAJAI";40
"420830 ITAPEMA";13
"420840 ITAPIRANGA";3
"420845 ITAPOA";3
"420850 ITUPORANGA";5
"420870 JACINTO MACHADO";2
"420880 JAGUARUNA";5
"420890 JARAGUA DO SUL";15
"420900 JOACABA";9
"420910 JOINVILLE";49
"420915 JOSE BOITEUX";2
"420930 LAGES";28
"420940 LAGUNA";9
"420945 LAJEADO GRANDE";1
"420950 LAURENTINO";2
"420960 LAURO MULLER";4
"420980 LEOBERTO LEAL";1
"420990 LONTRAS";1
"421000 LUIZ ALVES";2
"421003 LUZERNA";1
"421010 MAFRA";10
"421050 MARAVILHA";2
"421060 MASSARANDUBA";1
"421105 MONTE CARLO";1
"421120 MORRO DA FUMACA";6
"421130 NAVEGANTES";12
"421160 NOVA VENEZA";3
"421165 NOVO HORIZONTE";2
"421170 ORLEANS";3
"421175 OTACILIO COSTA";1
"421190 PALHOCA";27
"421200 PALMA SOLA";2
"421205 PALMEIRA";1
"421210 PALMITOS";2
"421220 PAPANDUVA";3
"421223 PARAISO";1
"421225 PASSO DE TORRES";2
"421240 PEDRAS GRANDES";1
"421250 PENHA";3
"421280 BALNEARIO PICARRAS";2
"421290 PINHALZINHO";1
"421310 PIRATUBA";2
"421320 POMERODE";6
"421330 PONTE ALTA";1
"421340 PONTE SERRADA";5
"421350 PORTO BELO";2
"421360 PORTO UNIAO";2
"421370 POUSO REDONDO";4
"421380 PRAIA GRANDE";2
"421400 PRESIDENTE GETULIO";5
"421415 PRINCESA";1
"421420 QUILOMBO";1
"421450 RIO DO CAMPO";1
"421460 RIO DO OESTE";1
"421480 RIO DO SUL";8
"421490 RIO FORTUNA";1
"421500 RIO NEGRINHO";6
"421530 SALETE";1
"421540 SALTO VELOSO";1
"421545 SANGAO";2
"421550 SANTA CECILIA";7
"421565 SANTA ROSA DO SUL";1
"421567 SANTA TEREZINHA";1
"421568 SANTA TEREZINHA DO PROGRESSO";1
"421570 SANTO AMARO DA IMPERATRIZ";4
"421580 SAO BENTO DO SUL";7
"421600 SAO CARLOS";1
"421605 SAO CRISTOVAO DO SUL";1
"421610 SAO DOMINGOS";1
"421620 SAO FRANCISCO DO SUL";10
"421630 SAO JOAO BATISTA";4
"421650 SAO JOAQUIM";10
"421660 SAO JOSE";25
"421670 SAO JOSE DO CEDRO";1
"421680 SAO JOSE DO CERRITO";2
"421690 SAO LOURENCO DO OESTE";5
"421700 SAO LUDGERO";5
"421715 SAO MIGUEL DA BOA VISTA";1
"421720 SAO MIGUEL DO OESTE";7
"421730 SAUDADES";1
"421740 SCHROEDER";4
"421750 SEARA";6
"421755 SERRA ALTA";1
"421770 SOMBRIO";2
"421780 TAIO";3
"421800 TIJUCAS";6
"421820 TIMBO";3
"421825 TIMBO GRANDE";2
"421830 TRES BARRAS";7
"421835 TREVISO";1
"421850 TREZE TILIAS";1
"421870 TUBARAO";19
"421875 TUNAPOLIS";1
"421880 TURVO";1
"421890 URUBICI";2
"421895 URUPEMA";2
"421900 URUSSANGA";1
"421915 VARGEM";1
"421917 VARGEM BONITA";1
"421920 VIDAL RAMOS";1
"421930 VIDEIRA";6
"421940 WITMARSUM";1
"421950 XANXERE";6
"421970 XAXIM";5
"421985 ZORTEA";1
"422000 BALNEARIO RINCAO";4
"430010 AGUDO";4
"430020 AJURICABA";1
"430040 ALEGRETE";9
"430050 ALPESTRE";1
"430060 ALVORADA";34
"430087 ARARICA";2
"430100 ARROIO DO MEIO";4
"430105 ARROIO DO SAL";1
